"","sleep","age","educ","totwrk","male","yngkid"
"168",3898,52,12,2408,0,0
"169",4695,52,12,1533,0,0
"170",3428,45,9,3150,1,0
"171",2655,30,13,938,1,1
"172",3253,27,12,2813,1,0
"173",2648,57,9,2775,0,0
"174",3376,56,13,375,0,0
"175",3550,24,16,2455,1,0
"176",3261,52,17,2588,1,0
"177",3743,51,11,0,1,0
"178",3570,52,7,2350,1,0
"179",3065,23,14,2148,0,1
"180",3633,49,12,1025,0,0
"181",3415,62,16,2935,1,0
"182",3683,23,12,2950,1,0
"183",3955,48,9,1763,0,0
"184",2975,31,12,2698,0,0
"185",3315,35,12,2948,1,0
"186",2918,23,16,2038,1,0
"187",3745,62,8,900,0,0
"188",3150,30,12,1671,0,0
"189",3438,28,14,2206,1,0
"190",3378,23,15,1125,0,1
"191",3558,25,17,1600,1,0
"192",3860,28,12,1334,0,0
"193",3448,64,14,2580,1,0
"194",3413,31,16,4058,1,1
"195",3038,29,12,1800,1,1
"196",4100,55,12,188,1,0
"197",4235,30,12,1183,0,1
"198",2200,26,12,2506,1,0
"199",3266,29,17,2883,1,0
"200",3983,28,14,1168,0,0
