"","sleep","age","educ","totwrk","male","yngkid"
"167",2423,48,11,2138,0,0
"168",3461,53,8,2300,1,0
"169",3213,48,8,3273,0,0
"170",2821,23,9,3825,1,0
"171",3458,48,12,1538,0,0
"172",3215,28,12,2688,0,0
"173",3391,50,12,2895,1,0
"174",3975,28,12,0,0,0
"175",3740,28,12,515,0,1
"176",3655,47,16,460,0,0
"177",3330,34,12,2300,1,0
"178",3368,33,11,1093,0,0
"179",3181,39,12,2393,1,1
"180",3525,32,16,2348,1,1
"181",3248,33,12,2526,1,0
"182",3785,31,12,800,1,0
"183",3233,44,7,2288,1,0
"184",3316,50,8,2970,1,0
"185",3218,59,12,1013,0,0
"186",3105,33,17,3080,1,0
"187",2985,31,15,0,0,0
"188",3860,28,12,1334,0,0
"189",3705,32,12,940,0,0
"190",3090,44,13,538,0,0
"191",3888,26,12,3446,1,0
"192",2926,35,12,2250,0,0
"193",3458,40,12,613,0,0
"194",2885,58,10,2625,1,0
"195",1546,36,12,3316,0,0
"196",2955,26,14,2225,0,0
"197",3621,34,12,2588,0,0
"198",3305,39,12,2620,1,0
"199",3210,53,16,3203,0,0
"200",3608,32,12,2100,0,0
