"","sleep","age","educ","totwrk","male","yngkid"
"186",2708,55,17,2501,1,0
"187",3428,45,9,3150,1,0
"188",3700,26,12,388,0,0
"189",2755,29,11,2705,1,0
"190",3548,32,12,113,0,0
"191",3320,44,12,2085,1,0
"192",3458,40,12,613,0,0
"193",3248,27,15,2238,1,1
"194",3165,28,10,2765,1,1
"195",3158,31,12,2325,0,0
"196",3318,51,14,0,0,0
"197",4140,45,8,0,1,0
"198",3103,35,12,1350,0,0
"199",2780,33,16,1950,1,0
"200",3115,35,17,2892,1,0
