"","sleep","age","educ","totwrk","male","yngkid"
"189",3308,27,12,1613,1,0
"190",3543,35,8,1088,0,0
"191",2799,23,16,2700,1,0
"192",2911,52,12,2100,0,0
"193",3090,45,17,1543,1,0
"194",2560,56,12,3018,1,0
"195",3870,46,11,2253,1,0
"196",3641,24,13,2686,0,0
"197",3773,33,17,353,0,0
"198",3310,49,12,2826,1,0
"199",3115,35,17,2892,1,0
"200",3475,47,12,2313,0,0
