"","sleep","age","educ","totwrk","male","yngkid"
"92",3515,28,17,3556,1,0
"93",3525,32,16,2348,1,1
"94",3203,51,12,2975,1,0
"95",3580,44,12,3166,1,0
"96",2865,24,12,2251,0,0
"97",3068,31,12,2373,0,0
"98",3780,32,12,1050,0,0
"99",3368,32,17,2353,1,0
"100",2533,42,12,1565,0,0
"101",3065,37,12,3003,1,0
"102",3300,37,12,3213,1,0
"103",3320,25,14,2193,0,0
"104",3210,32,16,2433,1,0
"105",3158,33,12,2413,0,0
"106",3351,34,12,3671,1,1
"107",2770,39,12,4000,1,0
"108",3308,45,12,2326,1,0
"109",3601,26,12,283,0,0
"110",3333,46,8,2560,1,0
"111",2413,25,12,400,0,0
"112",3020,54,13,2275,0,0
"113",4575,49,12,0,1,0
"114",2930,28,10,1283,1,0
"115",3293,29,13,1125,0,0
"116",3505,29,13,1993,0,0
"117",3740,28,12,515,0,1
"118",3263,25,12,2250,1,1
"119",3750,41,12,2550,1,0
"120",3328,36,12,3188,1,0
"121",2930,30,17,2100,1,0
"122",3200,58,9,2363,1,0
"123",3540,35,12,3692,1,0
"124",2115,27,12,2050,0,0
"125",3460,56,9,2250,0,0
"126",3570,26,16,2398,1,0
"127",3453,43,12,2325,1,0
"128",3083,30,12,3786,0,0
"129",3018,30,15,2851,1,0
"130",3060,23,12,2375,1,1
"131",3203,34,16,2205,0,0
"132",3123,49,12,2483,1,0
"133",3368,35,17,2048,1,1
"134",3008,52,10,2275,0,0
"135",2875,24,14,2301,1,0
"136",3520,34,10,675,1,0
"137",3130,27,14,2450,0,0
"138",2618,32,16,2763,1,0
"139",3278,40,12,2420,0,0
"140",3038,29,12,1800,1,1
"141",3268,58,8,1238,1,0
"142",3350,35,14,2050,0,0
"143",3270,43,12,0,0,0
"144",3548,32,12,113,0,0
"145",2623,60,12,4325,1,0
"146",3565,44,8,2150,0,0
"147",3795,36,9,1555,1,0
"148",3223,48,16,900,0,0
"149",3458,48,12,1538,0,0
"150",3460,32,11,650,0,0
"151",1485,28,12,2075,1,1
"152",1546,36,12,3316,0,0
"153",3475,59,8,3008,0,0
"154",3310,25,12,0,0,0
"155",3175,42,13,3481,1,0
"156",3875,26,14,2088,1,1
"157",4151,29,10,3570,1,0
"158",3553,24,12,1570,0,0
"159",3628,58,7,0,1,0
"160",2888,25,12,2931,1,0
"161",3595,60,12,2478,1,0
"162",2788,51,16,2325,1,0
"163",3590,28,11,2100,1,1
"164",3365,27,15,2203,0,1
"165",2928,47,13,3608,1,0
"166",3128,33,16,2843,1,0
"167",4373,44,11,0,0,0
"168",4005,34,10,520,0,0
"169",2940,41,17,1725,0,0
"170",3395,32,17,1988,1,0
"171",2890,26,12,2380,0,0
"172",2920,31,14,5020,1,0
"173",2955,31,16,3116,1,1
"174",3360,50,10,3075,1,0
"175",3818,57,4,360,0,0
"176",3860,37,14,0,1,0
"177",3965,26,10,700,1,1
"178",3435,42,11,2946,1,0
"179",3295,35,12,3171,1,0
"180",3705,29,12,2363,1,1
"181",3578,65,12,1321,1,0
"182",3046,54,16,2571,1,0
"183",3345,38,16,3048,1,0
"184",2740,54,12,2375,1,0
"185",3165,28,10,2765,1,1
"186",3256,28,12,1350,1,1
"187",3405,47,12,2460,0,0
"188",3338,51,16,1323,0,0
"189",3683,29,16,1125,1,0
"190",3355,26,16,3151,1,1
"191",3840,47,12,1538,1,0
"192",2956,44,8,1175,0,0
"193",3235,30,16,0,0,1
"194",3563,42,12,3391,1,0
"195",3330,61,12,2866,1,0
"196",2970,44,12,2880,0,0
"197",3018,40,16,2388,1,0
"198",3433,63,8,745,1,0
"199",2881,31,8,2866,1,1
"200",3150,30,12,1671,0,0
