sleep	age	educ	totwrk	male	yngkid
3611	39	17	2575	1	0
3128	33	16	2843	1	0
3213	31	12	2188	1	0
3860	37	14	0	1	0
4275	60	6	2248	0	0
3076	43	12	2876	1	0
4313	34	16	2758	1	1
2885	37	16	2578	1	0
3165	50	17	2163	1	0
3105	32	12	4075	1	0
3063	47	12	2388	1	0
3368	35	17	2048	1	1
3415	62	16	2935	1	0
3508	38	16	2400	1	1
2788	51	16	2325	1	0
3180	32	12	2108	1	0
3123	49	12	2483	1	0
3388	36	17	1913	1	0
3610	41	17	1738	1	0
3351	34	12	3671	1	1
2653	36	12	3225	1	0
3413	31	16	4058	1	1
3218	38	12	2713	1	0
3045	32	12	2982	1	1
3433	35	12	3025	1	0
3730	23	16	2213	0	0
2970	27	15	2125	1	1
3475	47	12	2313	0	0
3430	39	11	3140	1	0
2910	34	14	625	0	1
3570	52	7	2350	1	0
3060	45	12	2745	1	0
3495	61	17	2038	1	0
2970	44	12	2880	0	0
3008	51	8	3331	1	0
3428	49	15	1175	0	0
3288	64	10	1605	1	0
2400	30	12	3146	1	1
3070	36	12	3135	1	0
2250	26	15	4065	0	1
3323	44	8	2968	1	0
3023	28	12	2791	1	0
3505	59	13	2398	1	0
3503	35	12	1588	1	0
3370	56	12	2611	1	0
3120	38	12	2948	1	0
3308	28	17	3038	1	0
3398	50	14	1655	0	0
3333	46	8	2560	1	0
2728	28	16	1175	0	0
3256	28	12	1350	1	1
3250	36	12	3598	0	0
2915	47	16	2638	1	0
4170	40	14	3230	1	0
3030	42	14	3311	1	0
3668	41	16	2218	0	0
2303	44	17	3699	1	0
3618	53	16	3569	0	0
3316	39	11	1775	1	0
3601	26	12	283	0	0
2413	25	12	400	0	0
2771	32	6	3533	1	1
3383	32	12	2638	1	0
3808	24	17	1175	0	0
3363	56	12	2426	1	0
3675	34	10	2113	1	0
3120	23	13	2477	1	1
3536	29	12	2375	0	0
3253	27	12	2813	1	0
2885	58	10	2625	1	0
2560	56	12	3018	1	0
2985	37	14	4335	1	0
3095	51	12	3105	0	0
2985	50	12	3194	1	0
2243	39	16	2713	1	0
2838	48	12	2338	1	0
3375	50	16	938	1	0
3355	26	16	3151	1	1
3743	51	11	0	1	0
2701	39	16	3695	1	0
2943	54	14	2575	0	0
3463	28	12	2380	1	0
2723	37	12	2781	1	0
3875	26	14	2088	1	1
3115	35	17	2892	1	0
2756	53	15	1188	0	0
3398	53	16	2088	1	0
3098	27	12	3480	1	0
2991	37	17	2588	1	0
3215	28	12	2688	0	0
3611	29	17	1445	0	0
3305	44	12	3050	1	0
3367	26	12	2250	0	0
2618	32	16	2763	1	0
3475	59	8	3008	0	0
3618	26	17	2941	1	0
3460	32	11	650	0	0
3250	27	14	2700	1	0
2648	57	9	2775	0	0
3045	26	12	2313	1	1
3065	37	12	3003	1	0
2875	24	14	2301	1	0
3090	33	12	1806	1	0
2798	33	17	2366	1	0
3610	27	14	2466	1	1
3403	45	8	2648	1	0
3656	32	12	2010	1	0
3348	30	17	1760	1	1
3130	35	12	3135	0	0
3213	35	10	1485	0	0
3855	46	7	2463	1	0
3138	47	12	2351	1	0
3203	51	12	2975	1	0
2930	28	10	1283	1	0
2448	47	17	2488	1	0
3556	46	12	826	0	0
3660	42	14	2575	0	0
2536	59	9	2326	0	0
2828	30	11	2700	0	0
3103	35	12	1350	0	0
3730	23	12	1175	0	0
2840	38	11	2353	0	0
3210	61	12	1563	0	0
3650	51	8	600	0	0
2708	55	17	2501	1	0
3530	33	10	2250	0	0
4695	52	12	1533	0	0
3639	27	15	2513	1	1
2335	36	9	2896	1	0
2813	55	12	2550	0	0
3088	60	10	2747	0	0
3710	40	11	2127	0	0
3293	29	13	1125	0	0
3261	35	12	1125	0	0
3540	35	12	3692	1	0
3176	39	12	2225	1	0
3060	23	12	2375	1	1
3590	28	11	2100	1	1
2923	28	17	2243	0	0
3020	54	13	2275	0	0
3110	46	11	2393	0	0
3898	52	12	2408	0	0
2841	30	12	2413	0	0
3278	40	12	2420	0	0
3151	40	17	1263	0	0
3165	28	10	2765	1	1
3720	36	12	2100	0	0
3675	30	12	2425	0	0
3300	37	12	3213	1	0
2250	36	12	1200	0	0
3298	31	12	2276	1	0
3245	30	12	2475	1	0
2770	53	11	2300	0	0
3383	37	12	2188	0	0
3338	29	12	2313	1	0
3330	34	12	2300	1	0
3098	38	12	2828	1	0
3158	24	12	2200	0	0
3404	52	14	3748	1	0
3038	38	9	2681	1	0
3115	36	16	1860	0	0
2623	60	12	4325	1	0
3013	39	12	2313	1	0
2895	50	12	3411	0	0
1485	28	12	2075	1	0
2770	36	10	2587	0	0
3308	60	8	2975	1	0
3210	32	13	2125	1	0
3116	56	12	2628	1	0
3183	47	8	2388	1	0
3330	61	12	2866	1	0
3113	29	17	2173	1	0
2880	56	8	2450	1	0
3308	27	12	1613	1	0
3428	45	9	3150	1	0
3998	25	12	1350	0	0
3965	26	10	700	1	1
3515	52	12	2250	0	0
3345	33	17	1955	0	1
3638	37	17	2125	1	1
2655	30	13	938	1	1
2618	52	17	3869	0	0
3450	23	12	2450	1	1
3188	44	12	2353	0	0
3390	33	16	2563	1	0
3108	27	12	1863	0	0
3825	65	7	2143	1	0
3778	30	16	1571	1	1
3046	54	16	2571	1	0
3333	29	16	1818	0	1
4575	49	12	0	1	0
3263	25	12	2250	1	1
3113	58	12	2313	0	0
4545	40	11	835	1	0
3880	40	12	2830	1	1
3303	56	12	2226	1	0
3388	45	9	2325	0	0
3278	52	10	2140	0	0
3376	31	17	2592	1	1
2895	27	12	2313	1	0
3216	31	14	2263	1	0
2930	30	17	2100	1	0
3150	44	16	1075	1	0
3248	27	15	2238	1	1
3983	28	14	1168	0	0
3218	57	12	1900	1	0
2803	33	13	2376	0	0
3038	29	12	1800	1	1
3150	32	12	2965	1	0
3405	25	13	3466	1	1
3548	50	12	1538	1	0
3670	39	12	2600	1	0
2961	24	12	1675	1	0
3530	31	12	1113	1	1
2668	25	12	2400	1	1
3233	44	7	2288	1	0
3750	62	17	2226	1	0
3203	44	12	2001	1	0
2948	35	12	2480	0	0
3621	34	12	2588	0	0
3630	27	12	1213	0	1
3631	32	12	1650	1	0
2836	58	8	2263	1	0
2940	27	17	2163	0	1
3943	59	14	958	1	0
3378	23	12	3185	1	0
4140	45	8	0	1	0
2888	25	12	2931	1	0
3030	52	17	1138	1	0
3705	29	12	2363	1	1
3795	24	16	1298	0	0
3160	59	10	3103	1	0
3075	39	10	3261	1	0
2678	33	12	2755	1	0
4113	33	8	2488	1	1
3293	58	12	2058	1	0
2760	33	16	2695	1	1
3720	24	17	2113	0	0
3840	47	12	1538	1	0
3338	51	16	1323	0	0
4373	44	11	0	0	0
2928	48	12	2735	1	0
3090	36	12	3225	1	0
2740	54	12	2375	1	0
2496	25	12	1762	1	0
3098	56	17	2601	0	0
2933	28	12	2513	1	1
3195	40	14	1755	0	0
3213	28	12	2288	1	0
3015	29	12	2640	1	0
3698	33	17	2518	1	1
3488	26	12	1880	1	0
3335	54	12	2438	1	0
2965	31	12	2551	1	0
3823	56	13	2300	1	0
3443	25	17	2996	0	0
3560	25	12	2513	1	0
3461	53	8	2300	1	0
3178	26	12	2656	1	0
3435	24	15	1920	1	0
3211	45	17	1275	1	0
3635	52	10	465	0	0
3378	23	15	1125	0	1
3780	32	12	1050	0	0
2715	49	17	2850	0	0
3436	44	12	2250	0	0
3285	24	13	2451	1	0
3203	34	11	2463	1	0
3683	54	14	2150	1	0
3135	40	12	2325	1	0
3213	48	8	3273	0	0
3365	27	15	2203	0	1
3278	33	17	1853	0	1
3150	28	12	3616	1	0
3750	62	16	1963	0	0
3418	64	17	1126	0	0
2910	31	12	2450	0	0
3683	29	16	1125	1	0
2311	36	12	3996	1	0
3368	44	8	3071	1	0
3453	43	12	2325	1	0
3870	46	11	2253	1	0
2921	29	12	2263	0	0
3438	28	14	2206	1	0
3775	26	13	2711	1	1
2945	62	10	1263	0	0
3270	23	17	1960	0	0
3405	35	16	1470	0	0
3533	32	14	2980	1	1
3320	44	12	2085	1	0
3030	29	12	2270	0	0
3563	42	12	3391	1	0
3470	24	16	1660	0	0
3130	27	14	2450	0	0
3660	49	14	1163	0	0
4113	43	8	1288	1	0
2661	40	14	2485	1	0
2115	27	12	2050	0	0
3240	49	8	1038	0	0
3480	27	12	1213	0	0
4048	26	12	1558	0	0
2956	44	8	1175	0	0
2985	31	15	0	0	0
2745	28	13	0	0	1
3405	47	12	2460	0	0
3158	31	12	2325	0	0
3138	33	12	2488	0	0
3143	55	12	2288	0	0
2865	24	12	2251	0	0
3853	23	16	1173	0	0
3435	42	11	2946	1	0
3221	26	12	1150	0	0
3320	25	14	2193	0	0
2633	32	10	2663	1	0
3158	33	12	2413	0	0
3353	62	8	2475	0	0
3350	35	14	2050	0	0
2580	26	9	2575	1	0
3633	44	12	2170	0	0
3955	48	9	1763	0	0
4215	51	8	2525	0	0
2733	47	6	3226	0	0
3270	43	12	0	0	0
3128	32	16	2173	0	0
3515	24	13	2843	1	0
4068	28	16	2568	0	0
3885	33	14	913	0	0
3410	28	12	1497	0	1
3641	24	13	2686	0	0
4091	24	13	75	0	0
2708	49	12	2325	0	0
2640	27	16	2538	0	0
2918	23	16	2038	1	0
2983	32	12	2025	0	0
3420	39	11	2205	1	0
3322	35	12	1838	1	1
3553	24	12	1570	0	0
3945	33	12	1125	0	0
3018	40	16	2388	1	0
2870	25	13	1830	0	0
2891	30	12	2163	0	1
3323	24	16	1370	0	0
3155	25	16	3075	1	0
4110	34	12	2505	0	0
3328	52	12	2146	0	0
3015	25	15	1975	1	1
3195	37	16	1650	1	1
2710	26	17	2775	1	0
2890	26	12	2380	0	0
3578	65	12	1321	1	0
2708	32	12	2458	0	0
4100	27	10	3170	1	1
3818	57	4	360	0	0
3060	36	8	750	0	0
3765	51	13	2100	1	0
2710	52	11	2368	0	0
3753	24	17	1325	0	0
3943	27	12	2451	0	0
3505	29	13	1993	0	0
3693	30	13	2533	1	0
3150	30	12	1671	0	0
2780	33	16	1950	1	0
2955	37	11	1313	1	0
2948	27	14	1813	0	0
3045	37	12	2049	1	0
3595	44	12	1963	0	0
2985	62	8	0	1	0
3346	54	12	2288	0	0
3195	23	14	2195	1	0
3073	42	12	2088	0	0
3608	32	12	2100	0	0
2928	28	17	2606	1	0
3525	32	12	1875	0	0
3953	57	14	2351	0	0
3218	50	13	2300	0	0
3848	35	17	2126	0	0
3740	28	12	515	0	1
3570	60	12	2560	0	0
3218	39	17	2026	0	0
3255	29	12	2100	1	0
3363	43	12	1673	1	0
3286	47	12	2275	0	0
3255	33	11	2750	0	0
3548	45	12	2178	0	0
3181	54	9	1208	0	0
3188	45	12	1175	0	0
3318	51	14	0	0	0
4030	24	12	2193	0	1
2746	32	9	2288	0	0
3410	42	12	0	0	0
3943	60	12	2013	0	0
2423	48	11	2138	0	0
3388	39	12	2233	0	0
3280	36	16	1905	0	0
3376	56	13	375	0	0
3458	48	12	1538	0	0
3710	34	16	788	0	0
3196	33	10	2293	0	0
3206	48	17	838	1	0
2881	31	8	2866	1	1
3113	56	10	2031	0	0
3128	46	11	1738	0	0
3203	38	10	1525	0	0
3330	23	12	330	0	0
4180	30	10	2570	1	0
3368	33	11	1093	0	0
3295	50	8	2805	0	0
3103	51	12	825	0	0
3373	35	16	68	0	0
3210	53	16	3203	0	0
2698	33	12	1553	0	0
3633	49	12	1025	0	0
2413	44	8	2701	0	0
3818	28	12	125	0	0
3420	64	12	0	1	0
3215	61	12	375	0	0
2623	32	12	1920	0	0
2643	34	11	1408	1	0
3353	43	12	1995	0	0
3558	25	17	1600	1	0
2828	39	17	1243	0	0
3148	60	17	1988	1	0
3773	25	12	0	0	0
3405	55	14	375	0	0
3278	45	17	1051	0	0
2868	52	8	1733	0	0
3900	63	5	363	0	0
2508	26	16	1230	0	1
3555	26	6	1816	0	1
3630	58	8	625	0	0
3215	60	11	0	0	0
3180	31	12	0	0	0
3938	57	12	588	0	0
3466	39	16	1050	0	0
2678	25	15	800	0	1
3223	48	16	900	0	0
3428	28	17	638	0	0
3967	37	6	1751	0	0
3525	49	12	900	0	0
3143	48	12	900	0	0
3700	26	12	388	0	0
3245	27	17	305	0	1
2010	40	12	808	0	0
3055	38	12	875	0	0
3458	40	12	613	0	0
4235	30	12	1183	0	1
3890	30	16	1050	0	1
4005	34	10	520	0	0
3773	33	17	353	0	0
3465	26	10	2700	0	1
3460	27	14	0	0	0
3360	23	12	0	0	0
3863	62	1	0	0	0
3105	39	17	0	0	0
3715	34	17	2443	1	0
3450	44	15	995	1	0
3735	58	15	1975	1	0
4095	29	16	1313	0	0
2770	39	12	4000	1	0
2760	41	17	3518	1	0
4100	55	12	188	1	0
2800	28	12	0	0	1
2865	41	12	3438	1	0
3430	46	8	1150	1	0
4266	56	5	2880	1	0
2911	52	12	2100	0	0
2746	33	12	2740	1	0
2663	47	9	0	0	0
2940	35	12	2475	1	0
2640	27	16	3180	1	1
2930	34	17	1950	0	0
2955	26	14	2225	0	0
3595	60	12	2478	1	0
2905	27	12	3648	1	1
2533	42	12	1565	0	0
2820	31	14	3615	0	0
2755	29	11	2705	1	0
2806	31	12	2476	1	1
4200	65	5	0	1	0
2448	41	16	3325	1	0
4095	36	16	1413	1	0
2355	54	14	2726	0	0
4050	24	13	0	0	0
3990	56	7	1725	0	0
3975	28	12	0	0	0
2738	41	10	2475	1	0
2848	24	16	638	0	0
2818	32	12	2505	1	0
2470	38	16	2026	1	0
3855	33	17	360	0	0
3803	43	5	2446	1	0
2940	41	17	1725	0	0
3791	34	15	2808	1	0
3785	31	12	800	1	0
3755	55	13	1138	1	0
3745	62	8	900	0	0
3743	54	17	3118	1	0
2113	33	14	2488	1	0
4350	60	12	480	1	0
3860	28	12	1334	0	0
2053	32	12	2276	1	1
3705	32	12	940	0	0
3703	30	12	2948	0	0
2381	33	12	2760	0	0
3670	38	14	2175	1	0
3655	47	16	460	0	0
3650	40	16	1773	0	0
3643	28	11	3085	1	0
3638	27	11	1375	0	0
3733	28	16	2288	1	1
3725	44	9	2616	1	0
3630	25	16	875	0	0
3628	58	7	0	1	0
3628	28	16	1013	0	0
3800	52	5	1925	0	0
3615	27	16	2443	0	0
3600	42	12	2163	1	0
3598	56	14	2376	1	0
1740	50	16	2909	1	0
3583	64	12	2508	1	0
3580	44	12	3166	1	0
2700	33	14	2206	0	0
3565	44	8	2150	0	0
3550	24	16	2455	1	0
3548	32	12	113	0	0
3543	35	8	1088	0	0
3538	54	14	2388	1	0
3530	37	12	4805	1	0
3525	28	16	1933	1	0
3525	51	5	1950	0	0
3523	54	17	1971	1	0
3950	32	12	500	1	0
4420	38	10	2450	1	0
3871	46	16	2050	1	0
3503	26	12	950	0	0
3498	59	12	1015	1	0
3488	50	8	1715	1	0
3480	28	12	1113	0	0
3478	57	12	1200	1	0
3468	26	16	2871	1	0
3460	56	9	2250	0	0
3455	31	16	2828	0	0
1546	36	12	3316	0	0
3435	53	12	0	0	0
3433	63	8	745	1	0
755	23	12	2663	0	0
3423	35	16	3338	1	0
3423	61	8	1588	1	0
3420	32	17	830	0	0
2793	43	16	1273	1	0
3405	43	13	2145	0	0
3405	55	5	1875	1	0
3395	32	17	1988	1	0
3391	50	12	2895	1	0
3390	52	12	583	0	0
3935	54	12	163	1	0
3375	40	12	2905	1	0
3360	49	11	3135	0	0
3360	50	10	3075	1	0
3355	24	10	0	1	1
2655	25	13	2688	1	0
3338	44	12	2263	1	0
3338	42	12	2588	1	0
3330	37	12	3148	1	0
3326	46	17	2468	1	0
3315	29	10	1525	1	0
3315	35	12	2948	1	0
3310	25	12	0	0	0
3310	49	12	2826	1	0
3308	45	12	2326	1	0
3308	25	17	2820	1	0
3295	57	12	2513	1	0
3295	35	12	3171	1	0
3285	31	17	1325	0	0
3285	55	15	2493	1	0
3271	24	16	3441	0	0
3268	58	8	1238	1	0
3261	52	17	2588	1	0
3260	33	17	3590	1	0
3255	39	11	1548	0	0
3248	25	9	3190	1	0
3236	25	16	2350	0	0
3235	30	16	0	0	1
3230	25	17	2150	1	0
3225	42	16	2535	1	0
3225	35	12	638	1	0
3225	59	12	2260	0	0
3218	42	12	3275	1	1
3218	59	12	1013	0	0
3210	32	16	2433	1	0
3203	49	17	2450	1	0
3201	54	14	2298	1	0
3200	58	9	2363	1	0
3195	38	14	1578	1	0
3190	50	8	2500	0	0
3188	46	17	2526	0	0
3188	38	12	2538	1	0
3181	39	12	2393	1	1
3176	31	17	2163	0	0
3175	42	13	3481	1	0
3165	30	16	2163	1	0
3390	27	16	3421	1	0
3630	54	14	2300	1	0
3150	64	17	1188	1	0
3140	43	9	2666	1	0
3135	29	12	1538	1	0
3615	34	12	1888	1	1
3110	23	16	0	0	1
3095	31	15	2293	1	0
3090	44	13	538	0	0
3073	57	17	2351	1	0
3068	31	12	2373	0	0
3065	23	14	2148	0	1
3573	29	14	2013	1	0
3060	50	12	2603	1	0
3040	25	12	1510	0	1
3028	44	16	2513	1	0
3023	29	16	2418	1	1
3023	36	16	2281	0	0
3015	47	10	1183	0	0
3008	52	10	2275	0	0
2993	61	17	2725	1	0
2985	32	16	2388	0	0
2985	45	12	2026	0	0
3520	34	10	675	1	0
3510	37	12	1851	0	0
2970	54	17	1961	0	0
2970	30	16	2363	0	1
